name,xShift,yShift
Greenland
Canada
United States of America
Mexico
Guatemala
Nicaragua,0,3
Cuba,0,-2
Bahamas,0,-5
Dominican Republic
Panama
Colombia
Venezuela (Bolivarian Republic of)
Ecuador
Suriname
Peru,-5
Brazil
Paraguay,-5
Uruguay,-3
Bolivia (Plurinational State of),-5
Chile
Argentina,0,20
Falkland Islands (Malvinas)
Spain
Portugal,-15,0
France,5,-10
Iceland
The United Kingdom
Ireland,-15,0
Italy
Belarus
Greece
Germany
Norway
Sweden
Ukraine
Turkey
Russian Federation
Kazakhstan
Kyrgyzstan
Uzbekistan,-10
China
Mongolia
Republic of Korea
Japan,5,0
Philippines
Indonesia
Malaysia
Papua New Guinea
Australia
New Zealand
Myanmar,-3,5
Thailand
Viet Nam,-7,-12
India,-5,20
Bangladesh,-8
Nepal
Sri Lanka
Pakistan
Afghanistan,0,-3
Iraq,-10,0
Iran (Islamic Republic of),0,5
Israel,-15,3
Saudi Arabia
Oman
Yemen
Egypt
Libya
Tunisia
Algeria
Chad
Ethiopia
Madagascar
Nigeria
Ghana,0,7
South Africa
Democratic Republic of the Congo
Morocco
Sudan
Guinea
Mauritania
Senegal,-10
Mali,0,5
Namibia
Niger
Cameroon,0,8
Gabon,-5,5
Angola
Mozambique
Central African Republic
United Republic of Tanzania
Somalia
Kenya
Zambia
